date,price
2010-06-29,1.4296669960021973
2010-06-30,1.6540000438690186
2010-07-01,1.5653334856033325
2010-07-02,1.4066664576530457
2010-07-06,1.2036665081977844
2010-07-07,1.0733330249786377
2010-07-08,1.1200000047683716
2010-07-09,1.1660000085830688
2010-07-12,1.1666669845581055
2010-07-13,1.1843329668045044
2010-07-14,1.2593334913253784
2010-07-15,1.327666461467743
2010-07-16,1.378000020980835
2010-07-19,1.442667007446289
2010-07-20,1.4049999713897705
2010-07-21,1.3626665472984314
2010-07-22,1.3833335041999817
2010-07-23,1.4160000085830688
2010-07-26,1.4150000214576721
2010-07-27,1.3820000290870667
2010-07-28,1.3756664991378784
2010-07-29,1.370667040348053
2010-07-30,1.3379999995231628
2010-08-02,1.3806670308113098
2010-08-03,1.4316664934158325
2010-08-04,1.4403330087661743
2010-08-05,1.3996664881706238
2010-08-06,1.3230000138282776
2010-08-09,1.3166669607162476
2010-08-10,1.289333462715149
2010-08-11,1.2196665406227112
2010-08-12,1.1800000071525574
2010-08-13,1.2166665196418762
2010-08-16,1.24099999666214
2010-08-17,1.2703335285186768
2010-08-18,1.2786664962768555
2010-08-19,1.2443334460258484
2010-08-20,1.2583329677581787
2010-08-23,1.307333528995514
2010-08-24,1.2816664576530457
2010-08-25,1.3019999861717224
2010-08-26,1.3213334679603577
2010-08-27,1.3149999976158142
2010-08-30,1.319000005722046
2010-08-31,1.3046669960021973
2010-09-01,1.3356664776802063
2010-09-02,1.38100004196167
2010-09-03,1.3973329663276672
2010-09-07,1.3716664910316467
2010-09-08,1.385333001613617
2010-09-09,1.3903334736824036
2010-09-10,1.3639999628067017
2010-09-13,1.387000024318695
2010-09-14,1.3886665105819702
2010-09-15,1.4319999814033508
2010-09-16,1.4363335371017456
2010-09-17,1.375
2010-09-20,1.3910000324249268
2010-09-21,1.3886670470237732
2010-09-22,1.3579999804496765
2010-09-23,1.3149999976158142
2010-09-24,1.3350000381469727
2010-09-27,1.3643335103988647
2010-09-28,1.414667010307312
2010-09-29,1.4390000104904175
2010-09-30,1.4136670231819153
2010-10-01,1.3763329982757568
2010-10-04,1.3806664943695068
2010-10-05,1.4089999794960022
2010-10-06,1.38400000333786
2010-10-07,1.3666664958000183
2010-10-08,1.3619999885559082
2010-10-11,1.356000006198883
2010-10-12,1.3480000495910645
2010-10-13,1.3726665377616882
2010-10-14,1.3916664719581604
2010-10-15,1.38100004196167
2010-10-18,1.3583335280418396
2010-10-19,1.3416669964790344
2010-10-20,1.360333502292633
2010-10-21,1.3786664605140686
2010-10-22,1.3799999952316284
2010-10-25,1.3930000066757202
2010-10-26,1.4053335189819336
2010-10-27,1.4083334803581238
2010-10-28,1.4193335175514221
2010-10-29,1.4326664805412292
2010-11-01,1.4449999928474426
2010-11-02,1.430999994277954
2010-11-03,1.4350000023841858
2010-11-04,1.5833334922790527
2010-11-05,1.6436665058135986
2010-11-08,1.6493330001831055
2010-11-09,1.654333472251892
2010-11-10,1.7946664690971375
2010-11-11,1.8880000114440918
2010-11-12,1.9363330006599426
2010-11-15,2.034000039100647
2010-11-16,2.022333562374115
2010-11-17,1.9896665215492249
2010-11-18,2.018666982650757
2010-11-19,2.038333535194397
2010-11-22,2.165666937828064
2010-11-23,2.2619999647140503
2010-11-24,2.3579999208450317
2010-11-26,2.3639999628067017
2010-11-29,2.324666976928711
2010-11-30,2.3023329973220825
2010-12-01,2.3406665325164795
2010-12-02,2.212000012397766
2010-12-03,2.116666555404663
2010-12-06,2.0553334951400757
2010-12-07,2.0683335065841675
2010-12-08,2.161666512489319
2010-12-09,2.1519999504089355
2010-12-10,2.11899995803833
2010-12-13,2.0730000734329224
2010-12-14,1.9606664180755615
2010-12-15,1.9423329830169678
2010-12-16,2.0269999504089355
2010-12-17,2.090000033378601
2010-12-20,2.1113330125808716
2010-12-21,2.1353334188461304
2010-12-22,2.1626665592193604
2010-12-23,2.0450000762939453
2010-12-27,1.7856665253639221
2010-12-28,1.7419999837875366
2010-12-29,1.8253335356712341
2010-12-30,1.8066670298576355
2010-12-31,1.7733330130577087
2011-01-03,1.7820000052452087
2011-01-04,1.7776665091514587
2011-01-05,1.7770000100135803
2011-01-06,1.8236669898033142
2011-01-07,1.87466698884964
2011-01-10,1.8873335123062134
2011-01-11,1.851666510105133
2011-01-12,1.7990000247955322
2011-01-13,1.7726665139198303
2011-01-14,1.7300000190734863
2011-01-18,1.7039999961853027
2011-01-19,1.6433334946632385
2011-01-20,1.5550000071525574
2011-01-21,1.5386664867401123
2011-01-24,1.6006669998168945
2011-01-25,1.644333004951477
2011-01-26,1.648666501045227
2011-01-27,1.6553329825401306
2011-01-28,1.6296669840812683
2011-01-31,1.6050000190734863
2011-02-01,1.607333481311798
2011-02-02,1.6033334732055664
2011-02-03,1.5816665291786194
2011-02-04,1.563333511352539
2011-02-07,1.5443335175514221
2011-02-08,1.6089999675750732
2011-02-09,1.578000009059906
2011-02-10,1.5493335127830505
2011-02-11,1.5499999523162842
2011-02-14,1.5573334693908691
2011-02-15,1.5283335447311401
2011-02-16,1.5943334698677063
2011-02-17,1.6076664924621582
2011-02-18,1.550333023071289
2011-02-22,1.4916664958000183
2011-02-23,1.4670000076293945
2011-02-24,1.4769999980926514
2011-02-25,1.5473334789276123
2011-02-28,1.5876669883728027
2011-03-01,1.5996664762496948
2011-03-02,1.5946665406227112
2011-03-03,1.6279999613761902
2011-03-04,1.6476665139198303
2011-03-07,1.6623334884643555
2011-03-08,1.6420000195503235
2011-03-09,1.6460000276565552
2011-03-10,1.6150000095367432
